OBJECTID,address,address2,apt_room,arrive_date_time,cleared_date_time,dispatch_date_time,exposure,incident_number,incident_type,incident_type_description,platoon,station,Longitude,Latitude
595041,"WADE AVE & GLENWOOD AVE RALEIGH, NC 27608",                                        ,               ,2015-08-18 14:11:00,2015-08-18 14:16:00,2015-08-18 14:07:00,0,15-0025188,700,False alarm or false call Other,B,6,-78.64630680406425,35.79788476000106
595042,"GROVE AVE & SCARLET MAPLE DR RALEIGH, NC 27606",                                        ,               ,2015-08-01 14:03:00,2015-08-01 14:07:00,2015-08-01 14:00:00,0,15-0023297,444,Power line down,C,8,-78.71555420849512,35.78169890510941
595043,"TRYON RD & GORMAN ST RALEIGH, NC 27603",                                        ,               ,2015-09-09 21:07:00,2015-09-09 21:16:00,2015-09-09 21:03:00,0,15-0027638,444,Power line down,A,20,-78.70192248336608,35.74853437362893
595045,"GORMAN ST & HILLSBOROUGH ST RALEIGH, NC 27601",                                        ,               ,2015-08-18 21:29:00,2015-08-18 21:38:00,2015-08-18 21:22:00,0,15-0025229,500,Service Call other,B,8,-78.6843714553648,35.79337434620201
595047,"221 JENSEN DR RALEIGH, NC 27605",NCSU CLARK HALL                         ,               ,2015-08-19 21:53:00,2015-08-19 22:03:00,2015-08-19 21:48:00,0,15-0025335,745,Alarm system activation no fire - unintentional,C,5,-78.6668458640591,35.782098032931096
595048,"WALLINGFORD DR & N NEW HOPE RD RALEIGH, NC 27601",                                        ,               ,2015-08-19 01:49:00,2015-08-19 01:55:00,2015-08-19 01:48:00,0,15-0025257,611,Dispatched & cancelled en route,B,15,-78.5750547336184,35.84844929281686
595049,"MLK JR BLVD & GRANTLAND DR RALEIGH, NC 27601",                                        ,               ,2015-08-19 22:09:00,2015-08-19 22:20:00,2015-08-19 22:02:00,0,15-0025337,551,Assist police or other governmental agency,C,7,-78.6104897546726,35.770972786458465
595050,"E LANE ST & ST AUGUSTINE AVE RALEIGH, NC 27601",                                        ,               ,2015-08-20 02:36:00,2015-08-20 03:14:00,2015-08-20 02:33:00,0,15-0025362,132,Road freight or transport vehicle fire,C,7,-78.61884595710731,35.78328799377257
595053,"WESTERN BLVD & AVENT FERRY RD RALEIGH, NC 27606",                                        ,               ,2015-08-20 18:27:00,2015-08-20 18:50:00,2015-08-20 18:20:00,0,15-0025414,500,Service Call other,B,8,-78.67552875771155,35.780726495846636
595055,"3552 ALTHORP DR RALEIGH, NC 27601",                                        ,               ,2015-08-20 18:48:00,2015-08-20 19:06:00,2015-08-20 18:40:00,0,15-0025416,113,Cooking fire confined to container,B,28,-78.52236971091297,35.89852448745445
595056,"S SAUNDERS ST & ILEAGNES RD RALEIGH, NC 27601",                                        ,               ,2015-08-20 19:15:00,2015-08-20 19:23:00,2015-08-20 19:11:00,0,15-0025418,622,No Incident found on arrival at dispatch address,B,2,-78.64894398914215,35.74500463946325
595057,"JACQUELINE LN & CAPITAL BLVD RALEIGH, NC 27603",                                        ,               ,2015-08-20 21:37:00,2015-08-20 22:00:00,2015-08-20 21:32:00,0,15-0025437,131,Passenger vehicle fire,B,22,-78.57005586957371,35.88302399748446
595058,"MLK JR BLVD & S WILMINGTON ST RALEIGH, NC 27601",                                        ,               ,2015-08-21 00:04:00,2015-08-21 00:06:00,2015-08-21 00:02:00,0,15-0025457,622,No Incident found on arrival at dispatch address,B,1,-78.63893654397637,35.76935809565396
595060,"S SAUNDERS ST & I 40 EB RALEIGH, NC 27601",                                        ,               ,2015-08-20 22:59:00,2015-08-20 23:22:00,2015-08-20 22:56:00,0,15-0025447,622,No Incident found on arrival at dispatch address,B,2,-78.64915530164309,35.752749233982264
595061,"HAMMOND RD & CHAPANOKE RD RALEIGH, NC 27603",                                        ,               ,2015-08-21 15:28:00,2015-08-21 15:34:00,2015-08-21 15:24:00,0,15-0025516,622,No Incident found on arrival at dispatch address,C,2,-78.64015729965023,35.73572823589213
595062,"2601 NOBLEWOOD CIR RALEIGH, NC 27601",THE AVENUES BLDG 1                      ,               ,2015-08-21 15:57:00,2015-08-21 16:07:00,2015-08-21 15:52:00,0,15-0025520,731,Sprinkler activation due to malfunction,C,11,-78.61106939350796,35.8160006231761
595063,"I 40 EB & US 1 HWY RALEIGH, NC 27601",EXIT 293 US 1 HWY                       ,               ,2015-08-20 22:45:00,2015-08-20 22:55:00,2015-08-20 22:40:00,0,15-0025445,621,Wrong location,B,8,-78.73585519966834,35.76659393050284
595065,"MINE LAKE CT & SIX FORKS RD RALEIGH, NC 27615",                                        ,               ,2015-08-21 20:09:00,2015-08-21 20:28:00,2015-08-21 20:05:00,0,15-0025546,411,Gasoline or other flammable liquid spill,C,4,-78.64500794257137,35.87573450662665
595069,"POOLE RD & SUNNYBROOK RD RALEIGH, NC 27601",                                        ,               ,2015-08-22 05:10:00,2015-08-22 05:23:00,2015-08-22 05:07:00,0,15-0025584,463,Vehicle accident general cleanup,C,12,-78.58327158309805,35.77105118448131
595070,"12412 NORTH EXETER WAY RALEIGH, NC 27601",                                        ,               ,2015-08-22 06:19:00,2015-08-22 06:42:00,2015-08-22 06:13:00,0,15-0025587,746,Carbon monoxide detector activation no CO,C,29,-78.75829797839646,35.92696651426076
595071,"TRENTON RD & REEDY CREEK RD RALEIGH, NC 27601",UMSTEAD STATE PARK OLD REEDY CREEK RD GA,               ,2015-08-22 14:19:00,2015-08-22 15:03:00,2015-08-22 14:09:00,0,15-0025603,500,Service Call other,A,14,-78.73488548269218,35.82944575533218
595073,"I 540 EB & LUMLEY RD RALEIGH, NC 27601",EXIT 3 LUMLEY RD                        ,               ,2015-08-22 11:54:00,2015-08-22 11:57:00,2015-08-22 11:49:00,0,15-0025599,611,Dispatched & cancelled en route,A,24,-78.78462744486377,35.89873400772521
595076,"CRABTREE BLVD & N RALEIGH BLVD RALEIGH, NC 27601",                                        ,               ,2015-08-23 04:17:00,2015-08-23 04:21:00,2015-08-23 04:14:00,0,15-0025690,622,No Incident found on arrival at dispatch address,A,7,-78.6081459854176,35.80332294538544
595077,"LAKE WHEELER RD & I 40 EB RALEIGH, NC 27601",                                        ,               ,2015-08-22 22:06:00,2015-08-22 22:23:00,2015-08-22 22:03:00,0,15-0025655,463,Vehicle accident general cleanup,A,2,-78.66533216417781,35.7571745571267
595078,"ATLANTIC AVE & NEW HOPE CHURCH RD RALEIGH, NC 27601",                                        ,               ,2015-08-23 04:39:00,2015-08-23 04:40:00,2015-08-23 04:38:00,0,15-0025692,500,Service Call other,A,11,-78.60223328499731,35.83465048241628
595080,"5950 WHITEHURST WAY RALEIGH, NC 27606",                                        ,83,2015-08-23 14:57:00,2015-08-23 15:07:00,2015-08-23 14:53:00,0,15-0025734,745,Alarm system activation no fire - unintentional,C,8,-78.73061706755108,35.78470615754199
595081,"DOWLING RD & OLD POOLE RD RALEIGH, NC 27601",                                        ,               ,2015-08-23 18:12:00,2015-08-23 18:28:00,2015-08-23 18:09:00,0,15-0025754,142,Brush or brush-and-grass mixture fire,C,12,-78.5700891243072,35.767057773866696
595082,"MITCHELL MILL RD & SINGLELEAF LN RALEIGH, NC 27601",                                        ,               ,2015-08-23 23:12:00,2015-08-23 23:29:00,2015-08-23 23:03:00,0,15-0025788,463,Vehicle accident general cleanup,C,19,-78.51933341064255,35.88523243443046
595083,"1421 N RALEIGH BLVD RALEIGH, NC 27601",                                        ,               ,2015-08-24 06:38:00,2015-08-24 06:54:00,2015-08-24 06:35:00,0,15-0025823,440,Electrical  wiring/equipment problem Other,C,7,-78.61359184935104,35.794671450192425
595084,"I 440 WB & WAKE FOREST RD RALEIGH, NC 27601",EXIT 10 WAKE FOREST RD                  ,               ,2015-08-23 19:12:00,2015-08-23 19:19:00,2015-08-23 19:08:00,0,15-0025760,500,Service Call other,C,11,-78.62140407516885,35.8253030542196
595086,"DART LN & HECK ST RALEIGH, NC 27601",                                        ,               ,2015-08-24 16:32:00,2015-08-24 16:36:00,2015-08-24 16:28:00,0,15-0025861,500,Service Call other,A,3,-78.62467762859067,35.78272985824073
595087,"S SAUNDERS ST & DOROTHEA DR RALEIGH, NC 27601",                                        ,               ,2015-08-24 23:49:00,2015-08-24 23:53:00,2015-08-24 23:46:00,0,15-0025916,611,Dispatched & cancelled en route,A,1,-78.64805077089895,35.77120065165783
595088,"THISTLEDOWN DR & TRAILWOOD DR RALEIGH, NC 27601",                                        ,               ,2015-08-25 01:56:00,2015-08-25 02:08:00,2015-08-25 01:54:00,0,15-0025928,463,Vehicle accident general cleanup,A,20,-78.69422606386313,35.754334606548426
595089,"CORONA BLVD & CAPITAL BLVD RALEIGH, NC 27603",                                        ,               ,2015-08-24 22:35:00,2015-08-24 22:58:00,2015-08-24 22:31:00,0,15-0025910,622,No Incident found on arrival at dispatch address,A,7,-78.54170546231339,35.957321848990226
595090,"LUMLEY RD & GLENWOOD AVE RALEIGH, NC 27603",                                        ,               ,2015-08-25 00:22:00,2015-08-25 00:43:00,2015-08-25 00:16:00,0,15-0025920,500,Service Call other,A,24,-78.7659521097074,35.901559367450744
595095,"4470 VILANA RDG RALEIGH, NC 27601",SOLAS CRABTREE                          ,               ,2015-08-25 17:25:00,2015-08-25 17:30:00,2015-08-25 17:20:00,0,15-0026005,745,Alarm system activation no fire - unintentional,B,16,-78.679223186217,35.83461508032465
595096,"ST ALBANS DR & HARDIMONT RD RALEIGH, NC 27609",                                        ,               ,2015-08-26 00:36:00,2015-08-26 01:36:00,2015-08-26 00:33:00,0,15-0026040,150,Outside rubbish fire Other,B,9,-78.6291311397994,35.83462393103107
595098,"3009 M E VALENTINE DR RALEIGH, NC 27605",VALENTINE DORMATORIES                   ,               ,2015-08-26 11:07:00,2015-08-26 11:33:00,2015-08-26 11:03:00,0,15-0026067,743,Smoke detector activation no fire - unintentional,A,5,-78.67659616108496,35.78831984716983
595099,"S SWAIN ST & E DAVIE ST RALEIGH, NC 27601",                                        ,               ,2015-08-26 13:42:00,2015-08-26 13:56:00,2015-08-26 13:38:00,0,15-0026080,651,Smoke scare odor of smoke,A,1,-78.62927577933993,35.77530493193689
595100,"E WHITAKER MILL RD & WAKE FOREST RD RALEIGH, NC 27608",                                        ,               ,2015-08-26 14:27:00,2015-08-26 15:43:00,2015-08-26 14:19:00,0,15-0026086,413,Oil or other combustible liquid spill,A,6,-78.62477275029778,35.8075824493003
595102,"FALLS OF NEUSE RD & I 540 EB RALEIGH, NC 27601",                                        ,               ,2015-08-26 17:49:00,2015-08-26 18:00:00,2015-08-26 17:46:00,0,15-0026107,444,Power line down,A,15,-78.60999133072538,35.897703384475314
595103,"I 40 EB & US 1 HWY RALEIGH, NC 27601",EXIT 293 US 1 HWY                       ,               ,2015-08-26 17:51:00,2015-08-26 18:11:00,2015-08-26 17:42:00,0,15-0026105,463,Vehicle accident general cleanup,A,20,-78.73585519966834,35.76659393050284
595104,"TRYON RD & HAMMOND RD RALEIGH, NC 27603",                                        ,               ,2015-08-26 18:03:00,2015-08-26 18:24:00,2015-08-26 17:58:00,0,15-0026108,142,Brush or brush-and-grass mixture fire,A,2,-78.64069955779003,35.7308825326377
595105,"COLEMAN ST & BRAGG ST RALEIGH, NC 27601",                                        ,               ,2015-08-26 19:31:00,2015-08-26 19:34:00,2015-08-26 19:26:00,0,15-0026116,622,No Incident found on arrival at dispatch address,A,3,-78.62281224725878,35.76545592419781
595106,"I 440 WB & HILLSBOROUGH ST RALEIGH, NC 27601",                                        ,               ,2015-08-26 19:23:00,2015-08-26 19:38:00,2015-08-26 19:16:00,0,15-0026115,553,Public service,A,14,-78.6949235571722,35.79557611413069
595107,"1100 N RALEIGH BLVD RALEIGH, NC 27601",                                        ,               ,2015-08-26 22:52:00,2015-08-26 22:53:00,2015-08-26 22:46:00,0,15-0026141,511,Lock-out,A,7,-78.6111999043457,35.79419678506096
595108,"N WEST ST & TUCKER ST RALEIGH, NC 27601",                                        ,               ,2015-08-27 00:49:00,2015-08-27 00:54:00,2015-08-27 00:46:00,0,15-0026153,671,HazMat release investigation w/no HazMat,A,1,-78.64563985257651,35.78618689507003
595109,"3950 FAIRSTED DR RALEIGH, NC 27601",SIMPSON MARSHALL PARK                   ,               ,2015-08-27 13:30:00,2015-08-27 13:58:00,2015-08-27 13:25:00,0,15-0026197,735,Alarm system sounded due to malfunction,B,16,-78.67960471958278,35.83197871512286
595110,"WADE AVE & EDWARDS MILL RD RALEIGH, NC 27601",                                        ,               ,2015-08-27 01:24:00,2015-08-27 01:35:00,2015-08-27 01:21:00,0,15-0026161,553,Public service,A,14,-78.7232336678055,35.807424895446665
595111,"1100 N RALEIGH BLVD RALEIGH, NC 27601",FOOD LION RA                            ,               ,2015-08-27 00:18:00,2015-08-27 00:22:00,2015-08-27 00:16:00,0,15-0026150,735,Alarm system sounded due to malfunction,A,7,-78.6111999043457,35.79419678506096
595112,"2510 TORQUAY CRSG RALEIGH, NC 27601",                                        ,A              ,2015-08-27 15:03:00,2015-08-27 15:06:00,2015-08-27 14:58:00,0,15-0026204,611,Dispatched & cancelled en route,B,15,-78.59316352468126,35.86707810647703
595113,"GLENWOOD AVE & PLEASANT VALLEY RD RALEIGH, NC 27601",                                        ,               ,2015-08-27 16:41:00,2015-08-27 16:44:00,2015-08-27 16:38:00,0,15-0026215,400,Hazardous condition Other,B,17,-78.70657017889822,35.85883657498969
595114,"2941 MILLBROOK WOODS DR RALEIGH, NC 27601",                                        ,202,2015-08-28 08:44:00,2015-08-28 09:17:00,2015-08-28 08:42:00,0,15-0026290,710,Malicious mischievous false call Other,B,19,-78.58764265231991,35.8464494287442
595115,"CAROLINA PINES AVE & SUFFOLK BLVD RALEIGH, NC 27601",                                        ,               ,2015-08-28 14:31:00,2015-08-28 14:46:00,2015-08-28 14:25:00,0,15-0026310,140,Natural vegetation fire Other,C,1,-78.65613607737663,35.74636385500465
595116,"1450 N NEW HOPE RD RALEIGH, NC 27603",MURPHY EXPRESS GAS RA                   ,               ,2015-08-25 18:45:00,2015-08-25 19:03:00,2015-08-25 18:42:00,0,15-0026009,131,Passenger vehicle fire,B,21,-78.5631840001953,35.80176599987874
595117,"7643 GRESHAM HILLS DR RALEIGH, NC 27601",                                        ,101,2015-08-12 10:47:00,2015-08-12 12:33:00,2015-08-12 10:40:00,0,15-0024499,511,Lock-out,B,15,-78.5885690004308,35.88698999973985
595118,"1 W LENOIR ST RALEIGH, NC 27601",COR PARKING DECK                        ,               ,2015-08-15 07:12:00,2015-08-15 07:21:00,2015-08-15 07:09:00,0,15-0024856,745,Alarm system activation no fire - unintentional,C,1,-78.63850200012732,35.772880999771225
595119,"1221 FRONT ST RALEIGH, NC 27601",RPD SPECIAL OPERATIONS                  ,               ,2015-08-27 14:58:00,2015-08-27 15:15:00,2015-08-27 14:55:00,0,15-0026203,551,Assist police or other governmental agency,B,11,-78.6148040000628,35.82123199974275
595120,"2318 BEECHRIDGE RD RALEIGH, NC 27608",                                        ,               ,2015-08-17 11:37:00,2015-08-17 11:53:00,2015-08-17 11:33:00,0,15-0025063,412,Gas leak (natural gas or LPG),B,6,-78.64574000035766,35.81133400005969
595121,"2610 WESTINGHOUSE BLVD RALEIGH, NC 27601",WINGATE INN RA                          ,               ,2015-08-09 14:25:00,2015-08-09 14:34:00,2015-08-09 14:23:00,0,15-0024213,744,Detector activation no fire - unintentional,B,11,-78.5975039999795,35.815783000158106
595122,"6632 PORTSMOUTH LN RALEIGH, NC 27601",                                        ,               ,2015-08-08 16:26:00,2015-08-08 16:34:00,2015-08-08 16:22:00,0,15-0024117,745,Alarm system activation no fire - unintentional,A,15,-78.63097600001694,35.87058000029969
595124,"1921 BOOKER DR RALEIGH, NC 27601",                                        ,101,2015-08-22 23:46:00,2015-08-22 23:51:00,2015-08-22 23:41:00,0,15-0025666,511,Lock-out,A,7,-78.61700599989459,35.78592000031134
595125,"1300 E MARTIN ST RALEIGH, NC 27601",ROBERTS COMMUNITY CENTER                ,               ,2015-08-03 14:45:00,2015-08-03 14:46:00,2015-08-03 14:40:00,0,15-0023539,745,Alarm system activation no fire - unintentional,C,7,-78.61955199968295,35.776232999737495
595126,"1315 KENT RD RALEIGH, NC 27603",                                        ,F              ,2015-08-06 22:04:00,2015-08-06 22:13:00,2015-08-06 21:57:00,0,15-0023952,553,Public service,A,20,-78.693843999593,35.780039000346115
595127,"7204 HALSTEAD LN RALEIGH, NC 27601",                                        ,               ,2015-08-08 17:10:00,2015-08-08 17:16:00,2015-08-08 17:02:00,0,15-0024118,554,Assist invalid,A,18,-78.68162099991609,35.88515099989244
595128,"3415 WAKE FOREST RD RALEIGH, NC 27601",NORTH RALEIGH HILTON                    ,               ,2015-08-16 11:35:00,2015-08-16 11:43:00,2015-08-16 11:29:00,0,15-0024970,744,Detector activation no fire - unintentional,B,11,-78.61926399980288,35.829572000186964
595131,"509 GLENWOOD AVE RALEIGH, NC 27601",GLENWOOD TOWERS                         ,               ,2015-08-16 13:21:00,2015-08-16 13:33:00,2015-08-16 13:17:00,0,15-0024974,733,Smoke detector activation due to malfunction,B,1,-78.64728400041348,35.786365999830295
595133,"2720 CATES AVE RALEIGH, NC 27601",NCSU OWEN HALL                          ,               ,2015-08-21 05:03:00,2015-08-21 05:15:00,2015-08-21 04:57:00,0,15-0025477,710,Malicious mischievous false call Other,B,5,-78.67257099984134,35.784046999891686
595134,"1717 KINGSTON HEATH WAY RALEIGH, NC 27603",                                        ,               ,2015-08-22 19:28:00,2015-08-22 19:32:00,2015-08-22 19:23:00,0,15-0025639,130,Mobile property (vehicle) fire Other,A,21,-78.55018300019354,35.803849000058634
595135,"421 S SALISBURY ST RALEIGH, NC 27601",SHERATON HOTEL                          ,               ,2015-08-02 20:49:00,2015-08-02 21:14:00,2015-08-02 20:46:00,0,15-0023452,111,Building fire,B,1,-78.64038400029196,35.77498400017232
595137,"7312 STONECLIFF DR RALEIGH, NC 27601",                                        ,9,2015-08-24 20:32:00,2015-08-24 20:44:00,2015-08-24 20:27:00,0,15-0025893,510,Person in distress Other,A,18,-78.67593799961226,35.88803300012897
595138,"2209 LAZY RIVER DR RALEIGH, NC 27603",                                        ,               ,2015-08-15 17:50:00,2015-08-15 18:36:00,2015-08-15 17:46:00,0,15-0024891,113,Cooking fire confined to container,A,21,-78.55060699961777,35.801536999737294
595140,"3337 NEPTUNE DR RALEIGH, NC 27603",                                        ,               ,2015-08-11 08:18:00,2015-08-11 08:24:00,2015-08-11 08:09:00,0,15-0024390,700,False alarm or false call Other,C,21,-78.58356200034456,35.81359100011385
595141,"5405 SHADED VILLA CT RALEIGH, NC 27603",                                        ,               ,2015-08-30 08:12:00,2015-08-30 08:32:00,2015-08-30 08:10:00,0,15-0026500,400,Hazardous condition Other,B,23,-78.72441800038789,35.87616700002465
595142,"5171 GLENWOOD AVE RALEIGH, NC 27601",                                        ,               ,2015-08-04 16:46:00,2015-08-04 17:41:00,2015-08-04 16:42:00,3,15-0023687,131,Passenger vehicle fire,A,17,-78.69010899957604,35.84695400018835
595143,"3812 FRAZIER DR RALEIGH, NC 27601",                                        ,               ,2015-08-30 04:06:00,2015-08-30 05:05:00,2015-08-30 04:00:00,0,15-0026489,142,Brush or brush-and-grass mixture fire,B,12,-78.57396699957344,35.79699099989707
595144,"3302 TURNBRIDGE DR RALEIGH, NC 27601",                                        ,               ,2015-08-27 21:47:00,2015-08-27 22:04:00,2015-08-27 21:43:00,0,15-0026247,424,Carbon monoxide incident,B,9,-78.64029100040555,35.826070000045405
595145,"4209 SPRING FOREST RD RALEIGH, NC 27601",RFD 19                                  ,               ,2015-08-31 07:39:00,2015-08-31 07:40:00,2015-08-31 07:38:00,0,15-0026579,730,System malfunction Other,C,19,-78.57047400030416,35.856085000325926
595146,"9152 WOODEN RD RALEIGH, NC 27603",PRASADA RESD                            ,               ,2015-08-09 13:57:00,2015-08-09 14:03:00,2015-08-09 13:53:00,0,15-0024208,740,Unintentional transmission of alarm Other,B,24,-78.80025699982848,35.89949399987332
595148,"403 DANIELS ST RALEIGH, NC 27601",BAILEYS                                 ,               ,2015-08-25 09:22:00,2015-08-25 09:49:00,2015-08-25 09:18:00,0,15-0025954,735,Alarm system sounded due to malfunction,A,5,-78.66110300002475,35.7890169998168
595149,"2010 POOLE RD RALEIGH, NC 27601",                                        ,               ,2015-08-16 06:07:00,2015-08-16 08:45:00,2015-08-16 06:04:00,2,15-0024957,131,Passenger vehicle fire,A,7,-78.60972199963355,35.776120999945306
595150,"2709 NEWBOLD ST RALEIGH, NC 27601",                                        ,               ,2015-08-24 04:28:00,2015-08-24 04:50:00,2015-08-24 04:24:00,0,15-0025815,700,False alarm or false call Other,C,2,-78.64119699987863,35.746664000254825
595151,"800 LAKE BOONE TRL RALEIGH, NC 27608",                                        ,               ,2015-08-03 21:01:00,2015-08-03 21:07:00,2015-08-03 20:56:00,0,15-0023593,511,Lock-out,C,6,-78.67140099987931,35.815605999906396
595152,"6461 TRIANGLE PLANTATION DR RALEIGH, NC 27601",                                        ,               ,2015-08-10 17:14:00,2015-08-10 17:25:00,2015-08-10 17:07:00,0,15-0024324,740,Unintentional transmission of alarm Other,C,15,-78.58019700022345,35.873075000037076
595153,"3851 SPRING FOREST RD RALEIGH, NC 27601",SPRING FOREST ELEMENTARY SCHOOL         ,               ,2015-08-13 06:08:00,2015-08-13 07:04:00,2015-08-13 06:04:00,0,15-0024609,733,Smoke detector activation due to malfunction,C,19,-78.57565399974442,35.85560000027748
595154,"3400 BUFFALOE RD RALEIGH, NC 27601",                                        ,               ,2015-08-28 14:34:00,2015-08-28 14:39:00,2015-08-28 14:28:00,0,15-0026311,500,Service Call other,C,19,-78.58020399989617,35.83298199993594
595155,"920 WAKE TOWNE DR RALEIGH, NC 27601",JONES GRANT URBAN FLATS                 ,300,2015-08-14 14:41:00,2015-08-14 14:55:00,2015-08-14 14:36:00,0,15-0024755,700,False alarm or false call Other,C,11,-78.62631399971222,35.82582500031236
595157,"500 FAYETTEVILLE ST RALEIGH, NC 27601",MARRIOTT DOWNTOWN                       ,               ,2015-08-03 09:29:00,2015-08-03 09:30:00,2015-08-03 09:20:00,0,15-0023507,611,Dispatched & cancelled en route,B,1,-78.63947500044587,35.7735160002471
595158,"2603 GLENWOOD AVE RALEIGH, NC 27608",HARRIS TEETER RA                        ,               ,2015-08-01 19:36:00,2015-08-01 19:38:00,2015-08-01 19:34:00,0,15-0023333,744,Detector activation no fire - unintentional,C,6,-78.65926400041614,35.81628500001761
595159,"2904 BOONE TRL RALEIGH, NC 27601",                                        ,               ,2015-08-06 00:14:00,2015-08-06 00:17:00,2015-08-06 00:09:00,0,15-0023842,142,Brush or brush-and-grass mixture fire,C,10,-78.63376700002767,35.74083700036244
595162,"931 ILEAGNES RD RALEIGH, NC 27601",                                        ,               ,2015-08-20 16:51:00,2015-08-20 17:24:00,2015-08-20 16:43:00,0,15-0025407,412,Gas leak (natural gas or LPG),B,1,-78.65546099972879,35.740551999898
595163,"1919 WILD WATERS DR RALEIGH, NC 27601",                                        ,               ,2015-08-09 02:45:00,2015-08-09 02:53:00,2015-08-09 02:38:00,0,15-0024164,733,Smoke detector activation due to malfunction,A,25,-78.58125800040555,35.93062500023571
595164,"1251 GOODE ST RALEIGH, NC 27603",THE HEALING PLACE 4M                    ,MAI            ,2015-08-11 04:42:00,2015-08-11 04:49:00,2015-08-11 04:37:00,0,15-0024383,611,Dispatched & cancelled en route,C,2,-78.65936999982304,35.7643349998423
595166,"7101 FOX RD RALEIGH, NC 27601",FOX RD ELEMENTARY S/C                   ,               ,2015-08-28 14:00:00,2015-08-28 14:02:00,2015-08-28 13:56:00,0,15-0026304,700,False alarm or false call Other,C,19,-78.55403299983824,35.87134299971505
595170,"509 GLENWOOD AVE RALEIGH, NC 27601",GLENWOOD TOWERS                         ,506,2015-08-27 00:59:00,2015-08-27 01:03:00,2015-08-27 00:56:00,0,15-0026156,743,Smoke detector activation no fire - unintentional,A,1,-78.64728400041348,35.786365999830295
595171,"3109 SPRING FOREST RD RALEIGH, NC 27601",                                        ,               ,2015-08-10 16:32:00,2015-08-10 16:33:00,2015-08-10 16:28:00,0,15-0024319,740,Unintentional transmission of alarm Other,C,19,-78.58871699967048,35.85517900029488
595172,"1201 NEW BERN AVE RALEIGH, NC 27601",COOK OUT RA                             ,               ,2015-08-24 18:51:00,2015-08-24 18:54:00,2015-08-24 18:48:00,0,15-0025877,621,Wrong location,A,7,-78.62228999999023,35.77984700021842
595173,"7704 MOORGATE CT RALEIGH, NC 27601",                                        ,               ,2015-08-07 10:13:00,2015-08-07 10:18:00,2015-08-07 10:02:00,0,15-0023997,611,Dispatched & cancelled en route,A,15,-78.61678800033471,35.888243000118656
595175,"509 GLENWOOD AVE RALEIGH, NC 27601",GLENWOOD TOWERS                         ,1024,2015-08-21 23:01:00,2015-08-21 23:05:00,2015-08-21 22:58:00,0,15-0025559,745,Alarm system activation no fire - unintentional,C,1,-78.64728400041348,35.786365999830295
595176,"200 LOFT LN RALEIGH, NC 27609",ARDEN WOODS APT COMPLEX                 ,               ,2015-08-23 00:51:00,2015-08-23 01:05:00,2015-08-23 00:46:00,0,15-0025674,700,False alarm or false call Other,A,9,-78.64144799994877,35.858843999653786
595177,"3621 SPRING FOREST RD RALEIGH, NC 27601",HAMPTON INN RA                          ,               ,2015-08-23 12:42:00,2015-08-23 12:48:00,2015-08-23 12:39:00,0,15-0025725,700,False alarm or false call Other,C,19,-78.57911400030008,35.855323000012994
595179,"400 W NORTH ST RALEIGH, NC 27601",WEST AT NORTH                           ,               ,2015-08-14 15:28:00,2015-08-14 15:44:00,2015-08-14 15:24:00,0,15-0024761,745,Alarm system activation no fire - unintentional,C,1,-78.64479800000127,35.78482399985851
595180,"6890 HILLSBOROUGH ST RALEIGH, NC 27606",HILLSBOROUGH AT I 40                    ,               ,2015-08-09 10:27:00,2015-08-09 10:37:00,2015-08-09 10:22:00,0,15-0024198,622,No Incident found on arrival at dispatch address,A,8,-78.74554999967424,35.78909900018468
595181,"3707 MARSH CREEK RD RALEIGH, NC 27603",WILBURN ELEMENTARY SCH                  ,               ,2015-08-09 05:11:00,2015-08-09 05:21:00,2015-08-09 05:06:00,0,15-0024180,631,Authorized controlled burning,A,21,-78.57523899964274,35.819833999818634
595182,"1 W LENOIR ST RALEIGH, NC 27601",COR CONVENTION CTR PARKING DECK         ,               ,2015-08-03 09:24:00,2015-08-03 09:36:00,2015-08-03 09:20:00,0,15-0023506,745,Alarm system activation no fire - unintentional,B,1,-78.63850200012732,35.772880999771225
595184,"2201 SPRING FOREST RD RALEIGH, NC 27601",MILLBROOK SENIOR HIGH SCH               ,               ,2015-08-27 11:58:00,2015-08-27 12:00:00,2015-08-27 11:57:00,0,15-0026191,740,Unintentional transmission of alarm Other,B,15,-78.60402900018228,35.864161999851945
595185,"1121 KITT PL RALEIGH, NC 27601",                                        ,               ,2015-08-12 23:25:00,2015-08-12 23:30:00,2015-08-12 23:20:00,0,15-0024571,511,Lock-out,C,10,-78.61858599993546,35.753164000243565
595186,"1100 CARLISLE ST RALEIGH, NC 27601",                                        ,               ,2015-08-02 15:49:00,2015-08-02 15:55:00,2015-08-02 15:44:00,0,15-0023418,500,Service Call other,B,12,-78.59099499967024,35.763400999681465
595187,"1628 BURGUNDY ST RALEIGH, NC 27601",                                        ,A              ,2015-08-23 00:29:00,2015-08-23 00:29:00,2015-08-23 00:27:00,0,15-0025670,611,Dispatched & cancelled en route,A,7,-78.61033400027705,35.798116000212026
595188,"10700 WORLD TRADE BLVD RALEIGH, NC 27603",PUMP IT UP                              ,112,2015-08-31 18:09:00,2015-08-31 18:26:00,2015-08-31 18:04:00,0,15-0026635,745,Alarm system activation no fire - unintentional,A,24,-78.81568300014312,35.898018000124495
